Part Image,Part Name,Information
https://m.media-amazon.com/images/I/71wh7bQJDQL._AC_SY355_.jpg,DJI RC 2 Remote Controller with Next-Gen Processor 20km O4 Transmission 5.5-inch FHD Screen 2T4R Antennas Smart Controller for Drones Light and Compact,Compatibility: DJI Mini 4 Pro/ DJI Air 3/ DJI Neo
https://m.media-amazon.com/images/I/61RdcpSxvBL._AC_SY355_.jpg,DJI Air 3 Intelligent Flight Battery,Compatibility: DJI Air 3
https://m.media-amazon.com/images/I/617-Vis7OGL._AC_SY355_.jpg,DJI Air 3 Battery Charging Hub,In The Box: Battery Charging Hub × 1
https://m.media-amazon.com/images/I/51DvRNxKfZL._AC_SY355_.jpg,DJI Air 3 ND Filters Set (ND8/16/32/64),In The Box: ND8 Filter × 1 ND16 Filter × 1 ND32 Filter × 1 ND64 Filter × 1
https://m.media-amazon.com/images/I/41uLj8U4qCL._AC_SY355_.jpg,DJI Air 3 Low-Noise Propellers,Compatibility: DJI Air 3
https://m.media-amazon.com/images/I/51TluSuIhuL._AC_SY355_.jpg,DJI Air 3 Gimbal Protector,Compatibility: DJI Air 3
https://m.media-amazon.com/images/I/41G2F9l5KhL._AC_SY355_.jpg,DJI Mavic Air 2 Car Charger,Compatibility-DJI Air 2S Mavic Air 2
https://m.media-amazon.com/images/I/71S-+nqxadL._AC_SY355_.jpg,DJI Mavic Air 2 Battery Charging Hub,Compatibility: Mavic Air 2 Intelligent Flight Battery/ Mavic Air 2 Battery Charger/ Mavic Air 2 Car Charger.
https://m.media-amazon.com/images/I/31uX7Pil-OL._AC_SL1200_.jpg,DJI Mavic Air 2 Intelligent Flight Battery,What You Get: Intelligent Flight Battery x1
https://m.media-amazon.com/images/I/617XtXxQJ2L._AC_SY355_.jpg,DJI Mavic Air 2 Low-Noise Propellers,What You Get: Low-Noise Propellers (Model 7238) for DJI Mavic Air 2 Drone (Pair) × 1.
https://m.media-amazon.com/images/I/5191iX1QkCL._AC_SY355_.jpg,DJI Air 2S Low-Noise Propellers,Item Package Dimension: 8.14L x 3.58W x 0.47H inches
