Part Image,Part Name,Information
https://m.media-amazon.com/images/I/51RgS8r92ML._AC_SY355_.jpg,"DJI RC Motion 3, FPV Smart Controller with Immersive Motion Control, Compact and Portable, One-Click Emergency Brake, AR Cursor, Intuitive Drone Controller, Multi-Model Compatibility","Compact and Portable, Feature Rich - Light and portable, DJI RC Motion 3 features a streamlined design for a comfortable grip. A natural layout of various function buttons on its compact body enables you to perform takeoffs, stops, and mode switches with just a 'push' of your finger."
https://m.media-amazon.com/images/I/6184JUNS83L._AC_SY355_.jpg,"DJI Goggles 3, FPV Goggles with Stunning Micro-OLED Screens, Immersive Flight Experience, O4 HD Video Transmission, Adjustable Diopters, Wireless Streaming, Drone Goggles with Real View PiP","Compatibility - Compatible with DJI Neo, DJI Avata 2, DJI Mini 4 Pro, DJI Air 3, DJI RC Motion 3, DJI FPV Remote Controller 3, DJI O3 Air Unit, DJI RC-N2 and DJI RC 2. Please note that Goggles 3 does not work with DJI RC Motion 2 and DJI FPV Remote Controller 2."
https://m.media-amazon.com/images/I/61B5wkAZ6CL._AC_SY355_.jpg,DJI FPV Remote Controller 3,"For a tailored control stick feel, it is recommended to use the included screwdriver for adjustments. For more details, check the manual or tutorial videos."
https://m.media-amazon.com/images/I/51tWEPcaNCL._AC_SY355_.jpg,"DJI Avata 2 Propellers, Compatibility: DJI Avata 2",It is recommended to use the screwdriver provided in the package for installation and removal. Using a screwdriver of the wrong size could result in stripped screws or inability to disassemble.
https://m.media-amazon.com/images/I/819GtMB28tL._AC_SY355_.jpg,"DJI Avata 2 Two-Way Charging Hub, Compatibility: DJI Avata 2","Recommended Chargers: DJI 65W Portable Charger, DJI 65W Car Charger, or other USB Power Delivery chargers"
https://m.media-amazon.com/images/I/51sWjS5-CSL._AC_SY355_.jpg,"DJI Goggles Integra Motion Combo-Immersive Motion Control, Lightweight and Portable FPV Goggles with Integrated Design, Micro-OLED Screens, DJI O3+ Video Transmission, HD Low-Latency",Multidirectional Operation - An upgraded joystick makes altitude and direction control even smoother. Take off and land with precise accuracy and tackle complex maneuvers like darting left and right.
https://m.media-amazon.com/images/I/51lIB5IAqRL._AC_SY355_.jpg,"DJI Goggles 2 Motion Combo-Immersive, Multifunctional Motion Control; Lightweight and Portable FPV Drone Goggles, Micro-OLED Screens, DJI O3+ Video Transmission,and Low-Latency","Breathtaking Sights- Two Micro-OLED screens display vibrant, true-to-life colors. An independent video processing chip boosts smoothness and resolution, resulting in brilliant clarity."
https://m.media-amazon.com/images/I/51hcVNh5WKL._AC_SY355_.jpg,"DJI Goggles Integra - Lightweight and Portable FPV Goggles, Integrated Design, Micro-OLED Screens, DJI O3+ Video Transmission, HD Low-Latency, Compatible with DJI Avata and more",Micro-OLED Screens - DJI Goggles Integra's two HD Micro-OLED screens deliver stunning detail and color. The high screen refresh rate keeps flight smooth and responsive.
https://m.media-amazon.com/images/I/51y+dw7IBwL._AC_SY355_.jpg,"DJI RC Motion 2 - Immersive Smart Controller, Multidirectional Operation, Multifunctional and Intuitive Drone Accessory for FPV, Multi-Model Compatibility",Multidirectional Operation - An upgraded joystick makes altitude and direction control even smoother. Take off and land with precise accuracy and tackle complex maneuvers like darting left and right.
https://m.media-amazon.com/images/I/615exKDDUlL._AC_SY355_.jpg,"DJI Goggles 2 - Lightweight and Comfortable Immersive Flight Goggles with Stunning Micro-OLED Screens, HD Low-Latency Transmission, Adjustable Diopters, Wireless Streaming","Breathtaking Sights - Two Micro-OLED screens display vibrant, true-to-life colors. An independent video processing chip boosts smoothness and resolution, resulting in brilliant clarity."
https://m.media-amazon.com/images/I/51bfbwLcxRL._AC_SY355_.jpg,"DJI O3 Air Unit for FPV Drone, Digital Transmission System, 10km Max Range, 1080p/100fps H.265 Video Transmission","30ms Lowest Video Transmission Latency - Experience snappy, lightning-fast responsiveness to your controls thanks to the DJI O3 Air Unit's 30ms ultra-low latency."
https://m.media-amazon.com/images/I/51NjVTHHadL._AC_SY355_.jpg,DJI O3 Air Unit Camera Module,Weight (coaxial cable included): Approx. 8.3 
https://m.media-amazon.com/images/I/51WAsJIutjL._AC_SY355_.jpg,DJI Goggles 2 Foam Padding,"Material: PU foam, PC/ABS"
https://m.media-amazon.com/images/I/61urqhohHHL._AC_SY355_.jpg,DJI Goggles 2 Battery,Charging Temperature: 0° to 45° C (32° to 113° F)
https://m.media-amazon.com/images/I/51EnBy80GQL._AC_SY355_.jpg,DJI O3 Air Unit Transmission Module,Weight: Approx. 28 
https://m.media-amazon.com/images/I/518fWmUGKHL._AC_SY355_.jpg,DJI Goggles 2 Headband,"Material: Velcro, rubber, elastic loop fabric, polyester"
https://m.media-amazon.com/images/I/41OisGtYKxL._AC_SY355_.jpg,DJI O3 Air Unit 3-in-1 Cable,Item Package Dimension: 5.90L x 2.75W x 0.003H 
https://m.media-amazon.com/images/I/61Dy82E7Q7L._AC_SY355_.jpg,DJI Avata Intelligent Flight Battery,* Tested when hovering in an environment without wind or interference.
https://m.media-amazon.com/images/I/41KBbMJXy7L._AC_SY355_.jpg,DJI O3 Air Unit Antenna,Length: 85 
https://m.media-amazon.com/images/I/61zqxfIN7PL._AC_SY355_.jpg,"DJI Avata Fly More Kit, 19.69"" L x 19.69"" W x 11.02"" H","With a built-in DJI Intelligent Battery Management System, battery status is monitored and reported in real-time, allowing you to focus less on power levels and more on flying."
https://m.media-amazon.com/images/I/51pUNpIyHQL._AC_SY450_.jpg,"DJI Avata Upper Frame, 132x56.5x41.5",Item Package Weight - 0.110 
https://m.media-amazon.com/images/I/618nG2QEWcL._AC_SX425_.jpg,DJI Avata Propeller Guard,Item Package Dimension: 4.33L x 3.85W x 2.44H 
https://m.media-amazon.com/images/I/51vAc+LaXDL._AC_SY450_.jpg,"DJI Avata Propellers, 73.7x8.5, Gray",Item Package Dimension: 6.92L x 3.62W x 0.6H 
https://m.media-amazon.com/images/I/51i+n2kv7-L._AC_SY355_.jpg,DJI Avata Battery Charging Hub,Item Package Dimension: 8.38L x 2.20W x 0.98H 
https://m.media-amazon.com/images/I/51XCNbBmvFL._AC_SY355_.jpg,DJI Avata ND Filters Set (ND8/16/32),"By choosing the appropriate filter, you can have more freedom to control the aperture or shutter, which provides more exposure options and space for your creation."
https://m.media-amazon.com/images/I/51O67UnHJsL._AC_SY355_.jpg,"DJI FPV - Remote Controller 2, Remote Controller Compatible with DJI FPV Drone, Remote Piloting of The Drone, Built-in Radio Control, Control Range up to 6 km, Up to 9 Hours of use","SOFTWARE: DJI FPV closed-loop software allows pilots to remotely adjust DJI FPV, unit and camera parameters, increasing stability and reducing errors"
https://m.media-amazon.com/images/I/61mt2kMbidL._AC_SY355_.jpg,DJI 65W Portable Charger,"Compatibility: DJI Neo, DJI Mavic 3 Pro, DJI Mavic 3 Pro Cine, DJI Mavic 3 Classic, DJI Mavic 3, DJI Mavic 3 Cine, DJI Air 3, DJI Avata 2, DJI Avata, DJI Goggles 2 Battery"
https://m.media-amazon.com/images/I/61gXno64PVL._AC_SY355_.jpg,"DJI Avata 2 ND Filters Set (ND8/16/32)",Compatibility: DJI Avata 2
https://m.media-amazon.com/images/I/41793OsxdzL._AC_SX450_.jpg,DJI Goggles Carry More Backpack,Carry More Backpack For Your Accesories
